TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,RESIDENCE_SGG_CD,GENDER,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d000296,산굼부리,제주특별자치도,제주시,1.0,5.0,5.0,5.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,산굼부리,제주특별자치도,제주시,1.0,5.0,5.0,5.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,한라산국립공원 관음사탐방로,제주특별자치도,제주시,1.0,5.0,5.0,5.0,60.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,한라산국립공원 관음사탐방로,제주특별자치도,제주시,1.0,5.0,5.0,5.0,60.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,스누피가든,제주특별자치도,제주시,6.0,5.0,5.0,5.0,180.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,스누피가든,제주특별자치도,제주시,6.0,5.0,5.0,5.0,180.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,협재해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,90.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,협재해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,90.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,더마파크,제주특별자치도,제주시,5.0,5.0,5.0,5.0,30.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,더마파크,제주특별자치도,제주시,5.0,5.0,5.0,5.0,30.0,0,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,섭지코지,제주특별자치도,서귀포시,1.0,4.0,4.0,4.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,섭지코지,제주특별자치도,서귀포시,1.0,4.0,4.0,4.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,성산일출봉,제주특별자치도,서귀포시,1.0,5.0,5.0,5.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d000296,성산일출봉,제주특별자치도,서귀포시,1.0,5.0,5.0,5.0,60.0,1,d000296,2,11,남,8,2,5,3,2,5,4,2,5,3.0,6,3
d_d003854,금능해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,120.0,1,d003854,8,50,남,6,2,1,1,4,4,2,4,2,1.0,1,0
d_d003854,금능해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,120.0,1,d003854,8,50,남,6,2,1,1,4,4,2,4,2,1.0,1,0
d_d003854,협재해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,210.0,1,d003854,8,50,남,6,2,1,1,4,4,2,4,2,1.0,1,0
d_d003854,협재해수욕장,제주특별자치도,제주시,1.0,5.0,5.0,5.0,210.0,1,d003854,8,50,남,6,2,1,1,4,4,2,4,2,1.0,1,0
d_d003259,산굼부리,제주특별자치도,제주시,1.0,5.0,5.0,5.0,90.0,1,d003259,22,50,여,4,2,2,2,1,2,2,2,5,2.0,1,1
d_d003259,산굼부리,제주특별자치도,제주시,1.0,5.0,5.0,5.0,90.0,1,d003259,22,50,여,4,2,2,2,1,2,2,2,5,2.0,1,1
d_d004837,물영아리,제주특별자치도,서귀포시,1.0,4.0,3.0,3.0,30.0,0,d004837,22,27,여,2,3,4,1,3,4,5,5,5,2.0,3,1
d_d004837,물영아리,제주특별자치도,서귀포시,1.0,4.0,3.0,3.0,30.0,0,d004837,22,27,여,2,3,4,1,3,4,5,5,5,2.0,3,1
